#,Target Field,Order,Condition,Result,Else/Default,Source Fields,Notes
1,RESTRAINT_TOTAL_DURATION_MINUTES,1,"RESTRAINT_TOTAL_DURATION_HOURS present AND RESTRAINT_TOTAL_DURATION_MINUTES present","(HOURS*60)+MINUTES",0,"RESTRAINT_TOTAL_DURATION_HOURS; RESTRAINT_TOTAL_DURATION_MINUTES","Numeric aggregation (both fields captured)."
2,RESTRAINT_TOTAL_DURATION_MINUTES,2,"RESTRAINT_TOTAL_DURATION_HOURS present AND RESTRAINT_TOTAL_DURATION_MINUTES not present","HOURS*60",0,"RESTRAINT_TOTAL_DURATION_HOURS","Fallback if only hours provided."
3,RESTRAINT_TOTAL_DURATION_MINUTES,3,"RESTRAINT_TOTAL_DURATION_HOURS not present AND RESTRAINT_TOTAL_DURATION_MINUTES present","MINUTES",0,"RESTRAINT_TOTAL_DURATION_MINUTES","Fallback if only minutes provided."
4,IS_OPEN_DISCLOSURE_OCCURRED,1,"DISCLOSED_TO_THE_PATIENT_FAMILY = TRUE",TRUE,FALSE,"DISCLOSED_TO_THE_PATIENT_FAMILY","Primary notifier signal."
5,IS_OPEN_DISCLOSURE_OCCURRED,2,"PATIENT_FAMILY_CARER_BEEN_INFORMED_OF_THE_INCIDENT = TRUE",TRUE,FALSE,"PATIENT_FAMILY_CARER_BEEN_INFORMED_OF_THE_INCIDENT","Secondary confirmation path."
6,OPEN_DISCLOSURE_PATHWAY,1,"LEVEL_OD_PROCESS_WAS_USED present","LEVEL_OD_PROCESS_WAS_USED","NONE","LEVEL_OD_PROCESS_WAS_USED","Pass-through coded level when present."
7,INVESTIGATION_STATUS,1,"INVESTIGATION_COMPLETED_DATE present","COMPLETED","(evaluate next)","INVESTIGATION_COMPLETED_DATE","Terminal state."
8,INVESTIGATION_STATUS,2,"REVIEWED_DATE present","REVIEWED","(evaluate next)","REVIEWED_DATE","Team review recorded."
9,INVESTIGATION_STATUS,3,"REPORT_DUE_DATE present AND REPORT_DUE_DATE < TODAY()","OVERDUE","(evaluate next)","REPORT_DUE_DATE","Date comparison against current date."
10,INVESTIGATION_STATUS,4,"True (catch‑all)","IN_PROGRESS","IN_PROGRESS","(n/a)","Default when no higher condition matched."
11,IS_FALL_EVENT,1,"FALLS_HEIGHT_OF_FALL present OR FALLS_PLACE_OF_INCIDENT present OR FALLS_ACTIVITY_AT_THE_TIME_OF_THE_FALL present OR FALLS_MECHANISM_OF_THE_FALL present OR FALLS_WITNESSED_UNWITNESSED present",TRUE,FALSE,"FALLS_HEIGHT_OF_FALL; FALLS_PLACE_OF_INCIDENT; FALLS_ACTIVITY_AT_THE_TIME_OF_THE_FALL; FALLS_MECHANISM_OF_THE_FALL; FALLS_WITNESSED_UNWITNESSED","Presence of any fall-specific field."
12,IS_MEDICATION_EVENT,1,"ADMINISTRATION_ERRORS_LIST present OR DISPENSING_ISSUING_ERRORS_LIST present OR MEDICATION_OMITTED_DUE_TO_LIST present OR INCIDENT_INVOLVE_A_STANDING_DRUG_ORDER = TRUE OR PRIMARY_MEDICATION_INVOLVED present",TRUE,FALSE,"ADMINISTRATION_ERRORS_LIST; DISPENSING_ISSUING_ERRORS_LIST; MEDICATION_OMITTED_DUE_TO_LIST; INCIDENT_INVOLVE_A_STANDING_DRUG_ORDER; PRIMARY_MEDICATION_INVOLVED","Medication domain signal."
13,IS_BLOOD_EVENT,1,"Any BLOOD_* coded list/date/time present (e.g., BLOOD_ADMINISTRATION_ERROR, BLOOD_ADVERSE_REACTION_TO_BLOOD_PRODUCT, BLOOD_PRODUCT_TYPE_LIST, BLOOD_TRANSFUSION_DATE)",TRUE,FALSE,"BLOOD_ADMINISTRATION_ERROR; BLOOD_ADVERSE_REACTION_TO_BLOOD_PRODUCT; BLOOD_PRODUCT_TYPE_LIST; BLOOD_TRANSFUSION_DATE; BLOOD_TIME_TRANSFUSION_COMMENCED; etc.","Aggregate blood signal."
14,IS_INFECTION_EVENT,1,"Any INFECTION_PREVENTION field present (e.g., SHARP_INVOLVED, INVASIVE_MEDICAL_DEVICE, PERSONAL_PROTECTIVE_EQUIPMENT_PPE_LIST)",TRUE,FALSE,"SHARP_INVOLVED; INVASIVE_MEDICAL_DEVICE; PERSONAL_PROTECTIVE_EQUIPMENT_PPE_LIST; RELATED_CLINICAL_WASTE_MANAGEMENT_INCIDENT; LOCATION_OF_PROCESSING; TYPE_OF_LOCATION; INTRAVASCULAR_DEVICE_USED; URINARY_DEVICE_USED","Infection prevention signal."
15,IS_CB_EVENT,1,"Any CHALLENGING_BEHVIOUR field present (e.g., RESTRAINT_OR_SECLUSION, VERBAL_ABUSE_LIST, DEVICE_USED_FOR_RESTRAINT_LIST)",TRUE,FALSE,"RESTRAINT_OR_SECLUSION; VERBAL_ABUSE_LIST; DEVICE_USED_FOR_RESTRAINT_LIST; SUCCESSFULLY_DE_ESCALATED; CHEMICAL_RESTRAINT; MECHANICAL_RESTRAINT; PHYSICAL_RESTRAINT; SECLUSION","Challenging behaviour signal."
16,IS_SECURITY_EVENT,1,"Any SECURITY field present (e.g., SECURITY_TYPE_OF_THREAT_LIST, SECURITY_INCIDENT_OUTCOMES_LIST, SECURITY_SA_POLICE_REPORT_NUMBER)",TRUE,FALSE,"SECURITY_TYPE_OF_THREAT_LIST; SECURITY_INCIDENT_OUTCOMES_LIST; SECURITY_SA_POLICE_REPORT_NUMBER; SECURITY_MFS_REPORT_NUMBER; SECURITY_ERT_COMPOSITION_LIST; SECURITY_ACTUAL_DEGREE_OF_AGGRESSION_TO_OTHER_PERSONS; SECURITY_SA_POLICE_RESPONSE_TIME; SECURITY_PATIENT_INVOLVED; SECURITY_WORKER_HARMED_DURING_THIS_SECURITY_INCIDENT","Security domain signal."
17,IS_DEVICE_EVENT,1,"Any DEVICE_PRODUCT field present (e.g., MED_DEVICE_DEFECT_DESC, MED_DEVICE_DESC, MED_DEVICE_BRAND_NAME, MED_DEVICE_SERIAL_NUMBER)",TRUE,FALSE,"MED_DEVICE_DEFECT_DESC; MED_DEVICE_DESC; MED_DEVICE_BRAND_NAME; MED_DEVICE_SERIAL_NUMBER; MED_DEVICE_CURRENT_LOCATION","Medical device signal."
18,IS_IMAGING_EVENT,1,"Any IMAGING field present (e.g., IMAGING_CAUSE, IMAGING_TYPE_OF_OPERATOR_ERROR_LIST, IMAGING_TYPE_OF_EQUIPMENT_FAILURE_LIST)",TRUE,FALSE,"IMAGING_CAUSE; IMAGING_TYPE_OF_OPERATOR_ERROR_LIST; IMAGING_TYPE_OF_EQUIPMENT_FAILURE_LIST; IMAGING_RETAKE; IMAGING_STUDENT","Imaging domain signal."
19,IS_PRESSURE_INJURY_EVENT,1,"Any PRESSURE_INJURY field present (e.g., TOTAL_NUMBER_OF_CURRENT_PRESSURE_INJURIES_PRESENT, PATIENT_FACTORS_CONTRIBUTING_TO_PRESSURE_INJURY_LIST, PRESSURE_INJURY_ENVIRONMENTAL_FACTORS_LIST)",TRUE,FALSE,"TOTAL_NUMBER_OF_CURRENT_PRESSURE_INJURIES_PRESENT; PATIENT_FACTORS_CONTRIBUTING_TO_PRESSURE_INJURY_LIST; PRESSURE_INJURY_ENVIRONMENTAL_FACTORS_LIST","Pressure injury signal."
20,RESTRAINT_USED_FLAG,1,"RESTRAINT_OR_SECLUSION = TRUE OR PHYSICAL_RESTRAINT = TRUE OR MECHANICAL_RESTRAINT = TRUE OR CHEMICAL_RESTRAINT = TRUE",TRUE,FALSE,"RESTRAINT_OR_SECLUSION; PHYSICAL_RESTRAINT; MECHANICAL_RESTRAINT; CHEMICAL_RESTRAINT","Consolidated restraint indicator."
21,SECLUSION_USED_FLAG,1,"SECLUSION = TRUE",TRUE,FALSE,"SECLUSION","Direct mapping."
22,CODE_BLACK_FLAG,1,"CODE_BLACK_CALL_MADE = TRUE",TRUE,FALSE,"CODE_BLACK_CALL_MADE","Direct mapping."
23,NDIS_REPORTABLE_FLAG,1,"NDIS_SERIOUS_REPORTABLE_INCIDENT_CATEGORY_OF_REPORT present OR NDIS_RECORD_ID_NUMBER present",TRUE,FALSE,"NDIS_SERIOUS_REPORTABLE_INCIDENT_CATEGORY_OF_REPORT; NDIS_RECORD_ID_NUMBER","Either a category or an ID implies reportability."
24,SIRS_REPORTABLE_FLAG,1,"AGED_CARE_MANDATORY_REPORTING_SIRS_CATEGORY_OF_REPORT present OR SIRS_REPORT_DATE present OR SIRS_REPORT_NUMBER_COMMISSION_CASE_NUMBER present",TRUE,FALSE,"AGED_CARE_MANDATORY_REPORTING_SIRS_CATEGORY_OF_REPORT; SIRS_REPORT_DATE; SIRS_REPORT_NUMBER_COMMISSION_CASE_NUMBER","Any SIRS field recorded."
25,TGA_REPORTED_FLAG,1,"TGA_NOTIFIED = TRUE OR TGA_REFERENCE_NUMBER present",TRUE,FALSE,"TGA_NOTIFIED; TGA_REFERENCE_NUMBER","TGA signal."
26,SECURITY_ESCALATED_TO_POLICE,1,"SECURITY_SA_POLICE_REPORT_NUMBER present OR SECURITY_SA_POLICE_RESPONSE_TIME present",TRUE,FALSE,"SECURITY_SA_POLICE_REPORT_NUMBER; SECURITY_SA_POLICE_RESPONSE_TIME","Police involvement."
27,BLOOD_PRODUCT_GIVEN_FLAG,1,"BLOOD_PRODUCT_SPECIFICS_GIVEN_LIST present OR BLOOD_PRODUCT_SPECIFICS_GIVEN_ABO_RHESUS_SPECIFY present OR BLOOD_PRODUCT_SPECIFICS_GIVEN_ANTIGEN_POSITIVE_SPECIFY present",TRUE,FALSE,"BLOOD_PRODUCT_SPECIFICS_GIVEN_LIST; BLOOD_PRODUCT_SPECIFICS_GIVEN_ABO_RHESUS_SPECIFY; BLOOD_PRODUCT_SPECIFICS_GIVEN_ANTIGEN_POSITIVE_SPECIFY","Given/pathway."
28,BLOOD_PRODUCT_REQUIRED_FLAG,1,"BLOOD_PRODUCT_SPECIFICS_REQUIRED_LIST present OR BLOOD_PRODUCT_SPECIFICS_REQUIRED_ABO_RHESUS_SPECIFY present OR BLOOD_PRODUCT_SPECIFICS_REQUIRED_ANTIGEN_NEGATIVE_SPECIFY present",TRUE,FALSE,"BLOOD_PRODUCT_SPECIFICS_REQUIRED_LIST; BLOOD_PRODUCT_SPECIFICS_REQUIRED_ABO_RHESUS_SPECIFY; BLOOD_PRODUCT_SPECIFICS_REQUIRED_ANTIGEN_NEGATIVE_SPECIFY","Required/pathway."
29,MEDICATION_ADMIN_ERROR_FLAG,1,"ADMINISTRATION_ERRORS_LIST present",TRUE,FALSE,"ADMINISTRATION_ERRORS_LIST","Administration error captured."
30,MEDICATION_DISPENSING_ISSUING_ERROR_FLAG,1,"DISPENSING_ISSUING_ERRORS_LIST present",TRUE,FALSE,"DISPENSING_ISSUING_ERRORS_LIST","Dispensing/issuing error captured."
31,MEDICATION_OMITTED_FLAG,1,"MEDICATION_OMITTED_DUE_TO_LIST present",TRUE,FALSE,"MEDICATION_OMITTED_DUE_TO_LIST","Omission captured."
32,FALLS_WITNESSED_STATUS,1,"FALLS_WITNESSED_UNWITNESSED present","FALLS_WITNESSED_UNWITNESSED","UNKNOWN","FALLS_WITNESSED_UNWITNESSED","Pass-through coded value; else UNKNOWN."
33,PRESSURE_INJURY_COUNT,1,"TOTAL_NUMBER_OF_CURRENT_PRESSURE_INJURIES_PRESENT present","TOTAL_NUMBER_OF_CURRENT_PRESSURE_INJURIES_PRESENT",0,"TOTAL_NUMBER_OF_CURRENT_PRESSURE_INJURIES_PRESENT","Numeric pass-through; default 0."
34,OPEN_DISCLOSURE_REQUIRED_FLAG,1,"LEVEL_OD_PROCESS_WAS_USED present",TRUE,FALSE,"LEVEL_OD_PROCESS_WAS_USED","Level recorded implies OD pathway in use."
35,INVESTIGATION_REQUIRED_FLAG,1,"NOTIFIER_RATING_ISR_CODE present OR MANAGER_RATING_ISR_CODE present OR NOTIFIER_RATING_SAC_CODE present",TRUE,FALSE,"NOTIFIER_RATING_ISR_CODE; MANAGER_RATING_ISR_CODE; NOTIFIER_RATING_SAC_CODE","Any risk rating implies review workflow."
36,PRIMARY_INCIDENT_CATEGORY,1,"IS_SECURITY_EVENT = TRUE","SECURITY","(evaluate next)","SECURITY_*; derived IS_SECURITY_EVENT","Category precedence: security first."
37,PRIMARY_INCIDENT_CATEGORY,2,"IS_BLOOD_EVENT = TRUE","BLOOD","(evaluate next)","BLOOD_*; derived IS_BLOOD_EVENT",""
38,PRIMARY_INCIDENT_CATEGORY,3,"IS_MEDICATION_EVENT = TRUE","MEDICATIONS","(evaluate next)","*_MEDICATION_*; derived IS_MEDICATION_EVENT",""
39,PRIMARY_INCIDENT_CATEGORY,4,"IS_FALL_EVENT = TRUE","FALL","(evaluate next)","FALL_*; derived IS_FALL_EVENT",""
40,PRIMARY_INCIDENT_CATEGORY,5,"IS_INFECTION_EVENT = TRUE","INFECTION_PREVENTION","(evaluate next)","INFECTION_PREVENTION_*; derived IS_INFECTION_EVENT",""
41,PRIMARY_INCIDENT_CATEGORY,6,"IS_CB_EVENT = TRUE","CHALLENGING_BEHAVIOUR","(evaluate next)","CHALLENGING_BEHVIOUR_*; derived IS_CB_EVENT",""
42,PRIMARY_INCIDENT_CATEGORY,7,"IS_PRESSURE_INJURY_EVENT = TRUE","PRESSURE_INJURY","(evaluate next)","PRESSURE_INJURY_*; derived IS_PRESSURE_INJURY_EVENT",""
43,PRIMARY_INCIDENT_CATEGORY,8,"IS_DEVICE_EVENT = TRUE","DEVICE_PRODUCT","(evaluate next)","DEVICE_PRODUCT_*; derived IS_DEVICE_EVENT",""
44,PRIMARY_INCIDENT_CATEGORY,9,"IS_IMAGING_EVENT = TRUE","IMAGING","(evaluate next)","IMAGING_*; derived IS_IMAGING_EVENT",""
45,PRIMARY_INCIDENT_CATEGORY,10,"True (catch‑all)","GENERAL","GENERAL","(n/a)","Fallback category."
46,IS_ISG_INVOLVED,1,"ISG_CATEGORY present OR ISG_REASONS_WHY_INFORMATION_SHARING_WAS_REQUESTED_LIST present OR ISG_REASONS_WHY_INFORMATION_SHARING_WAS_REFUSED_LIST present OR ISG_EXTERNAL_ORGANISATION_INVOLVED present",TRUE,FALSE,"ISG_CATEGORY; ISG_REASONS_WHY_INFORMATION_SHARING_WAS_REQUESTED_LIST; ISG_REASONS_WHY_INFORMATION_SHARING_WAS_REFUSED_LIST; ISG_EXTERNAL_ORGANISATION_INVOLVED","Information Sharing Guidelines involvement."
47,IS_PATIENT_SAFETY_HUDDLE_HELD,1,"PATIENT_SAFETY_HUDDLE_DATE present",TRUE,FALSE,"PATIENT_SAFETY_HUDDLE_DATE","Huddle conducted."
48,HAS_CLUSTER_REVIEW,1,"REVIEW_CLUSTER present",TRUE,FALSE,"REVIEW_CLUSTER","Cluster title recorded."
49,BLOOD_TRANSFUSION_OCCURRED_FLAG,1,"BLOOD_TRANSFUSION_DATE present OR BLOOD_TIME_TRANSFUSION_COMMENCED present",TRUE,FALSE,"BLOOD_TRANSFUSION_DATE; BLOOD_TIME_TRANSFUSION_COMMENCED","Any transfusion timing recorded."
50,SECURITY_ANY_WORKER_HARM,1,"SECURITY_WORKER_HARMED_DURING_THIS_SECURITY_INCIDENT = TRUE",TRUE,FALSE,"SECURITY_WORKER_HARMED_DURING_THIS_SECURITY_INCIDENT","Worker harm in security event."
51,SECURITY_ANY_PATIENT_INVOLVED,1,"SECURITY_PATIENT_INVOLVED = TRUE",TRUE,FALSE,"SECURITY_PATIENT_INVOLVED","Patient involved in security event."
52,OD_DISCLOSURE_PATH_CONFIRMED,1,"IS_OPEN_DISCLOSURE_OCCURRED = TRUE AND OPEN_DISCLOSURE_PATHWAY <> 'NONE'",TRUE,FALSE,"DISCLOSED_TO_THE_PATIENT_FAMILY; PATIENT_FAMILY_CARER_BEEN_INFORMED_OF_THE_INCIDENT; LEVEL_OD_PROCESS_WAS_USED","Consistency check between occurrence and level."
53,HAS_DEVICE_TRACEABILITY,1,"MED_DEVICE_SERIAL_NUMBER present OR MED_DEVICE_BRAND_NAME present",TRUE,FALSE,"MED_DEVICE_SERIAL_NUMBER; MED_DEVICE_BRAND_NAME","Traceable device identifiers present."
54,IMAGING_QA_FLAG,1,"IMAGING_STUDENT = TRUE OR IMAGING_RETAKE = TRUE",TRUE,FALSE,"IMAGING_STUDENT; IMAGING_RETAKE","Quality assurance signal."
55,BLOOD_ADVERSE_REACTION_FLAG,1,"BLOOD_ADVERSE_REACTION_TO_BLOOD_PRODUCT present OR BLOOD_ADVERSE_REACTION_UNCERTAIN_AETIOLOGY_DESC present OR BLOOD_ADVERSE_REACTION_OTHER present",TRUE,FALSE,"BLOOD_ADVERSE_REACTION_TO_BLOOD_PRODUCT; BLOOD_ADVERSE_REACTION_UNCERTAIN_AETIOLOGY_DESC; BLOOD_ADVERSE_REACTION_OTHER","Adverse reaction signal."
56,STERILISATION_EVENT_FLAG,1,"Any STERILISATION_* field present (e.g., STERILISATION_BCI_LIST, STERILISATION_FAILURE_LIST, STERILISATION_OUTCOME, STERILISATION_TYPE_LIST)",TRUE,FALSE,"STERILISATION_BCI_LIST; STERILISATION_FAILURE_LIST; STERILISATION_OUTCOME; STERILISATION_TYPE_LIST","Sterilisation domain signal."
57,HAS_EPLIS_IMPACT,1,"EPLIS_CLINICIAN_ISSUES_LIST present OR EPLIS_PATIENT_OUTCOME_LIST present",TRUE,FALSE,"EPLIS_CLINICIAN_ISSUES_LIST; EPLIS_PATIENT_OUTCOME_LIST","EPLIS captured."
58,HAS_REVIEW_ACTIVITY,1,"Any of INVESTIGATION_LEAD present OR DATE_RCA_COMMENCED_DATE present OR DATE_RCA_COMMISSIONED_DATE present OR REPORT_DUE_DATE present",TRUE,FALSE,"INVESTIGATION_LEAD; DATE_RCA_COMMENCED_DATE; DATE_RCA_COMMISSIONED_DATE; REPORT_DUE_DATE","Any review metadata present."
59,NOTIFICATION_BROADCAST_FLAG,1,"OTHERS_NOTIFIED present",TRUE,FALSE,"Others_notified","Additional notifications recorded."
60,CONSEQUENCE_PRESENT_FLAG,1,"NOTIFIER_PATIENT_OUTCOME_ISR present OR NOTIFIER_OUTCOME_SAC present OR MANAGER_PATIENT_OUTCOME_ISR present",TRUE,FALSE,"NOTIFIER_PATIENT_OUTCOME_ISR; NOTIFIER_OUTCOME_SAC; MANAGER_PATIENT_OUTCOME_ISR","Any consequence/outcome captured."
